Date,Close
10/1/2012 16:00:00,34.18
10/2/2012 16:00:00,34
10/3/2012 16:00:00,34.63
10/4/2012 16:00:00,34.92
10/5/2012 16:00:00,35.07
10/8/2012 16:00:00,34.68
10/9/2012 16:00:00,34.19
10/10/2012 16:00:00,34.35
10/11/2012 16:00:00,34.76
10/12/2012 16:00:00,34.78
10/15/2012 16:00:00,34.97
10/16/2012 16:00:00,35.29
10/17/2012 16:00:00,35.64
10/18/2012 16:00:00,35.47
10/19/2012 16:00:00,34.99
10/22/2012 16:00:00,34.75
10/23/2012 16:00:00,34.16
10/24/2012 16:00:00,34.12
10/25/2012 16:00:00,34.39
10/26/2012 16:00:00,34.58
10/31/2012 16:00:00,34.69
11/1/2012 16:00:00,35.97
11/2/2012 16:00:00,35.85
11/5/2012 16:00:00,35.38
11/6/2012 16:00:00,35.97
11/7/2012 16:00:00,35.64
11/8/2012 16:00:00,35.52
11/9/2012 16:00:00,35.73
11/12/2012 16:00:00,35.81
11/13/2012 16:00:00,35.61
11/14/2012 16:00:00,34.99
11/15/2012 16:00:00,35
11/16/2012 16:00:00,35.68
11/19/2012 16:00:00,36.41
11/20/2012 16:00:00,36.59
11/21/2012 16:00:00,36.67
11/23/2012 16:00:00,37.03
11/26/2012 16:00:00,36.81
11/27/2012 16:00:00,36.7
11/28/2012 16:00:00,36.82
11/29/2012 16:00:00,37.05
11/30/2012 16:00:00,37.43
12/3/2012 16:00:00,37.16
12/4/2012 16:00:00,36.9
12/5/2012 16:00:00,37.02
12/6/2012 16:00:00,37.12
12/7/2012 16:00:00,37.14
12/10/2012 16:00:00,37.17
12/11/2012 16:00:00,37.23
12/12/2012 16:00:00,36.97
12/13/2012 16:00:00,36.8
12/14/2012 16:00:00,36.71
12/17/2012 16:00:00,37.28
12/18/2012 16:00:00,37.68
12/19/2012 16:00:00,37.29
12/20/2012 16:00:00,38.12
12/21/2012 16:00:00,37.69
12/24/2012 16:00:00,37.8
12/26/2012 16:00:00,37.44
12/27/2012 16:00:00,37.35
12/28/2012 16:00:00,37.16
12/31/2012 16:00:00,37.9
1/2/2013 16:00:00,38.85
1/3/2013 16:00:00,38.88
1/4/2013 16:00:00,39.19
1/7/2013 16:00:00,39.47
1/8/2013 16:00:00,39.84
1/9/2013 16:00:00,40.45
1/10/2013 16:00:00,40.13
1/11/2013 16:00:00,40.29
1/14/2013 16:00:00,40.16
1/15/2013 16:00:00,40.11
1/16/2013 16:00:00,40.05
1/17/2013 16:00:00,39.97
1/18/2013 16:00:00,39.57
1/22/2013 16:00:00,39.76
1/23/2013 16:00:00,39.76
1/24/2013 16:00:00,39.89
1/25/2013 16:00:00,39.96
1/28/2013 16:00:00,39.09
1/29/2013 16:00:00,39.17
1/30/2013 16:00:00,38.75
1/31/2013 16:00:00,39.48
2/1/2013 16:00:00,39.64
2/4/2013 16:00:00,39.16
2/5/2013 16:00:00,39.88
2/6/2013 16:00:00,40.21
2/7/2013 16:00:00,39.27
2/8/2013 16:00:00,39.45
2/11/2013 16:00:00,39.08
2/12/2013 16:00:00,39.2
2/13/2013 16:00:00,38.69
2/14/2013 16:00:00,38.99
2/15/2013 16:00:00,39.5
2/19/2013 16:00:00,39.4
2/20/2013 16:00:00,38.85
2/21/2013 16:00:00,39.36
2/22/2013 16:00:00,39.86
2/25/2013 16:00:00,38.97
2/26/2013 16:00:00,39.46
2/27/2013 16:00:00,39.97
2/28/2013 16:00:00,39.66
3/1/2013 16:00:00,39.52
3/4/2013 16:00:00,39.88
3/5/2013 16:00:00,40.07
3/6/2013 16:00:00,40.27
3/7/2013 16:00:00,40.13
3/8/2013 16:00:00,40.17
3/11/2013 16:00:00,40.3
3/12/2013 16:00:00,39.95
3/13/2013 16:00:00,39.84
3/14/2013 16:00:00,40.17
3/15/2013 16:00:00,39.64
3/18/2013 16:00:00,39.52
3/19/2013 16:00:00,39
3/20/2013 16:00:00,39.83
3/21/2013 16:00:00,39.45
3/22/2013 16:00:00,40.02
3/25/2013 16:00:00,41
3/26/2013 16:00:00,41.87
3/27/2013 16:00:00,42.17
3/28/2013 16:00:00,42.46
4/1/2013 16:00:00,41.84
4/2/2013 16:00:00,41.99
4/3/2013 16:00:00,41.19
4/4/2013 16:00:00,41.62
4/5/2013 16:00:00,41.29
4/8/2013 16:00:00,41.57
4/9/2013 16:00:00,41.19
4/10/2013 16:00:00,41.75
4/11/2013 16:00:00,41.91
4/12/2013 16:00:00,41.44
4/15/2013 16:00:00,40.32
4/16/2013 16:00:00,41.18
4/17/2013 16:00:00,40.56
4/18/2013 16:00:00,40.35
4/19/2013 16:00:00,40.99
4/22/2013 16:00:00,40.88
4/23/2013 16:00:00,41.42
4/24/2013 16:00:00,41.77
4/25/2013 16:00:00,42.19
4/26/2013 16:00:00,41.81
4/29/2013 16:00:00,41.98
4/30/2013 16:00:00,42.12
5/1/2013 16:00:00,41.51
5/2/2013 16:00:00,43.85
5/3/2013 16:00:00,44.89
5/6/2013 16:00:00,44.72
5/7/2013 16:00:00,44.95
5/8/2013 16:00:00,44.82
5/9/2013 16:00:00,44.65
5/10/2013 16:00:00,44.69
5/13/2013 16:00:00,44.73
5/14/2013 16:00:00,45.08
5/15/2013 16:00:00,45.44
5/16/2013 16:00:00,44.95
5/17/2013 16:00:00,46.14
5/20/2013 16:00:00,45.4
5/21/2013 16:00:00,45.39
5/22/2013 16:00:00,45.04
5/23/2013 16:00:00,44.53
5/24/2013 16:00:00,45.11
5/28/2013 16:00:00,45.01
5/29/2013 16:00:00,44.54
5/30/2013 16:00:00,45.26
5/31/2013 16:00:00,44.54
6/3/2013 16:00:00,45.05
6/4/2013 16:00:00,45.05
6/5/2013 16:00:00,44.31
